[FSVAE]: epoch: 42, g_loss: 96.0499, acc: 95.1914%, nmi: 0.8906, t_acc: 95.1617%, t_nmi: 0.8902
[FSVAE]: epoch: 43, g_loss: 95.8921, acc: 95.4743%, nmi: 0.8940, t_acc: 95.4400%, t_nmi: 0.8935
[FSVAE]: epoch: 44, g_loss: 95.6861, acc: 95.4029%, nmi: 0.8920, t_acc: 95.3717%, t_nmi: 0.8916
[FSVAE]: epoch: 45, g_loss: 95.7200, acc: 95.4771%, nmi: 0.8935, t_acc: 95.4367%, t_nmi: 0.8928
[FSVAE]: epoch: 46, g_loss: 95.5771, acc: 95.6314%, nmi: 0.8961, t_acc: 95.5750%, t_nmi: 0.8953
[FSVAE]: epoch: 47, g_loss: 95.4366, acc: 95.4700%, nmi: 0.8948, t_acc: 95.4317%, t_nmi: 0.8943
[FSVAE]: epoch: 48, g_loss: 95.3969, acc: 95.4429%, nmi: 0.8937, t_acc: 95.3983%, t_nmi: 0.8928
[FSVAE]: epoch: 49, g_loss: 95.3371, acc: 95.6229%, nmi: 0.8963, t_acc: 95.5817%, t_nmi: 0.8957
[FSVAE]: epoch: 50, g_loss: 95.0955, acc: 95.3543%, nmi: 0.8929, t_acc: 95.3033%, t_nmi: 0.8921
[FSVAE]: epoch: 51, g_loss: 95.6676, acc: 95.5914%, nmi: 0.8961, t_acc: 95.5400%, t_nmi: 0.8953
[FSVAE]: epoch: 52, g_loss: 95.1980, acc: 95.6829%, nmi: 0.8973, t_acc: 95.6217%, t_nmi: 0.8961
[FSVAE]: epoch: 53, g_loss: 95.0359, acc: 95.5857%, nmi: 0.8963, t_acc: 95.5350%, t_nmi: 0.8955
[FSVAE]: epoch: 54, g_loss: 94.9679, acc: 95.7129%, nmi: 0.8989, t_acc: 95.6750%, t_nmi: 0.8982
[FSVAE]: epoch: 55, g_loss: 94.8166, acc: 95.6286%, nmi: 0.8970, t_acc: 95.5600%, t_nmi: 0.8959
[FSVAE]: epoch: 56, g_loss: 94.8037, acc: 95.6771%, nmi: 0.8977, t_acc: 95.6450%, t_nmi: 0.8972
[FSVAE]: epoch: 57, g_loss: 94.7667, acc: 95.7257%, nmi: 0.8988, t_acc: 95.6850%, t_nmi: 0.8982
[FSVAE]: epoch: 58, g_loss: 94.5932, acc: 95.5700%, nmi: 0.8961, t_acc: 95.5233%, t_nmi: 0.8955
[FSVAE]: epoch: 59, g_loss: 94.5763, acc: 95.6900%, nmi: 0.8975, t_acc: 95.6300%, t_nmi: 0.8966
[FSVAE]: epoch: 60, g_loss: 94.4035, acc: 95.6800%, nmi: 0.8988, t_acc: 95.6283%, t_nmi: 0.8980
[FSVAE]: epoch: 61, g_loss: 94.2660, acc: 95.7700%, nmi: 0.8998, t_acc: 95.7067%, t_nmi: 0.8987
[FSVAE]: epoch: 62, g_loss: 94.2564, acc: 95.7443%, nmi: 0.8993, t_acc: 95.6800%, t_nmi: 0.8980
[FSVAE]: epoch: 63, g_loss: 94.1318, acc: 95.8657%, nmi: 0.9011, t_acc: 95.8283%, t_nmi: 0.9004
[FSVAE]: epoch: 64, g_loss: 94.0252, acc: 95.7629%, nmi: 0.8994, t_acc: 95.7200%, t_nmi: 0.8987
[FSVAE]: epoch: 65, g_loss: 93.9729, acc: 95.8386%, nmi: 0.9014, t_acc: 95.8050%, t_nmi: 0.9010
